reviewer_id,method,local_edit_success_0_2,non_target_preservation_0_2,overall_prompt_adherence_0_2,visual_quality_0_2,joint_success,strict_joint_success
reviewer_1,endpoint_auto,1.2542372881355932,1.0847457627118644,1.4915254237288136,2.0,0.559322033898305,0.15254237288135594
reviewer_1,endpoint_gt,1.271186440677966,1.5254237288135593,1.5254237288135593,2.0,0.6949152542372882,0.23728813559322035
reviewer_1,rk2_auto,1.2542372881355932,1.11864406779661,1.5593220338983051,1.9830508474576272,0.5932203389830508,0.13559322033898305
reviewer_1,rk2_gt,1.2033898305084745,1.4745762711864407,1.6101694915254237,2.0,0.6610169491525424,0.2711864406779661
reviewer_1,rk2_n15_auto,1.1355932203389831,1.5084745762711864,1.5593220338983051,1.9830508474576272,0.559322033898305,0.288135593220339
reviewer_1,rk2_n15_gt,1.2033898305084745,1.9661016949152543,1.5932203389830508,2.0,0.6440677966101694,0.5254237288135594
reviewer_2,endpoint_auto,1.305084745762712,1.1864406779661016,1.5423728813559323,2.0,0.6610169491525424,0.13559322033898305
reviewer_2,endpoint_gt,1.4067796610169492,1.4745762711864407,1.6779661016949152,2.0,0.7627118644067796,0.2711864406779661
reviewer_2,rk2_auto,1.2881355932203389,1.1864406779661016,1.5423728813559323,2.0,0.6779661016949152,0.11864406779661017
reviewer_2,rk2_gt,1.3559322033898304,1.4406779661016949,1.5932203389830508,2.0,0.7627118644067796,0.2542372881355932
reviewer_2,rk2_n15_auto,1.2033898305084745,1.576271186440678,1.6271186440677967,2.0,0.6271186440677966,0.288135593220339
reviewer_2,rk2_n15_gt,1.3728813559322033,1.9152542372881356,1.7118644067796611,2.0,0.7627118644067796,0.559322033898305
